systemId,bioFr,parentSystemId,color,level,displayName,active,racineSystemId,sotsGlobalScore,unlockLevel,rarityTier,sotsRecent30Score,totalVotes,domainKey,id,created_date,updated_date,created_by_id,is_sample
"ST-000003","Techno","ST-000001","","2","Techno","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024cb","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000002","House","ST-000001","#85272E","2","House","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024cc","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000001","","","#85272E","1","DANCE / EDM","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024cd","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000238","","ST-000191","","3","Brostep","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024cf","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000239","","ST-000191","","3","Riddim","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d0","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000240","","ST-000191","","3","Melodic Dubstep","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d1","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000241","","ST-000191","","3","Tearout","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d2","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000242","","ST-000191","","3","Deep Dubstep","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d3","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000243","","ST-000191","","3","Chillstep","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d4","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000244","","ST-000191","","3","140","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024d5","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000197","Reportage","ST-000193","","2","Reportage","true","ST-000193","0","1","common","0","0","video","69b8134c77c81ce104b02409","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000196","Captation Live","ST-000193","","2","Captation Live","true","ST-000193","0","1","common","0","0","video","69b8134c77c81ce104b0240a","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000195","Teaser / Vidéo Promotionnelle","ST-000193","","2","Teaser / Vidéo Promotionnelle","true","ST-000193","0","1","common","0","0","video","69b8134c77c81ce104b0240b","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000194","Aftermovie","ST-000193","","2","Aftermovie","true","ST-000193","0","1","common","0","0","video","69b8134c77c81ce104b0240c","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000193","Événementiel","","","1","Événementiel","true","ST-000193","0","1","common","0","0","video","69b8134c77c81ce104b0240d","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000146","","","","1","Humour","true","ST-000146","0","1","common","0","0","humour","69b8134c77c81ce104b0240e","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
"ST-000147","","ST-000146","","2","Stand-up","true","ST-000146","0","1","common","0","0","humour","69b8134c77c81ce104b0240f","2026-03-16T14:27:24.168000","2026-03-16T14:27:24.168000","698c747aee05acfdd23ea578","false"
