sourceId,culturalMomentId,checkpointSystemId,sourceTable,recordedAt,signalType,signalValue,id,created_date,updated_date,created_by_id,is_sample
"69cafa28c26d25841b31a3dc","69cafa6ffbad1adf8235b16a","NC-0000000123","Session","2026-03-30T22:34:34.614Z","session_confirmed","1","69cafa7b460e983b4c2ec6a9","2026-03-30T22:34:35.066000","2026-03-30T22:34:35.066000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cafa28c26d25841b31a3dc","69cafa6ffbad1adf8235b16a","NC-0000000123","Session","2026-03-30T22:34:22.613Z","session_opened","1","69cafa6fa24350b4a34a5ce4","2026-03-30T22:34:23.419000","2026-03-30T22:34:23.419000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000156","69c8856b607e7643bb0ce19c","NC-0000000156","CheckpointLiveStats","2026-03-29T01:59:19.088Z","session_confirmed","1","69c8877746128630ed48157d","2026-03-29T01:59:19.673000","2026-03-29T01:59:19.673000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000156","69c8856b607e7643bb0ce19c","NC-0000000156","CheckpointLiveStats","2026-03-29T01:54:19.097Z","session_confirmed","1","69c8864b7d89e5d7aafe8af4","2026-03-29T01:54:19.675000","2026-03-29T01:54:19.675000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000156","69c8856b607e7643bb0ce19c","NC-0000000156","CheckpointLiveStats","2026-03-29T01:54:19.097Z","session_opened","24","69c8864b7d89e5d7aafe8af5","2026-03-29T01:54:19.675000","2026-03-29T01:54:19.675000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"69c8852e6fe4622d26529e6d","69c8856b607e7643bb0ce19c","NC-0000000156","Session","2026-03-29T01:51:05.417Z","session_confirmed","1","69c885898dc5ff1333a4110c","2026-03-29T01:51:05.759000","2026-03-29T01:51:05.759000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c8852e6fe4622d26529e6d","69c8856b607e7643bb0ce19c","NC-0000000156","Session","2026-03-29T01:50:34.782Z","session_opened","1","69c8856bb57acd85bcf7407e","2026-03-29T01:50:35.507000","2026-03-29T01:50:35.507000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d40397c99229b5c73b3b","69c7d41e5605970477567014","NC-0000000050","Session","2026-03-28T13:41:47.703Z","session_confirmed","1","69c7da9c6ecfa7467cb161c5","2026-03-28T13:41:48.034000","2026-03-28T13:41:48.034000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d4b59a435ebb107136a2","69c7d4d842e59a2a37fd29c8","NC-0000000049","Session","2026-03-28T13:23:13.052Z","session_confirmed","1","69c7d641ae63131bb4b1f2eb","2026-03-28T13:23:13.344000","2026-03-28T13:23:13.344000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d4b59a435ebb107136a2","69c7d4d842e59a2a37fd29c8","NC-0000000049","Session","2026-03-28T13:23:12.006Z","session_confirmed","1","69c7d64026918b6b88d1e2ce","2026-03-28T13:23:12.307000","2026-03-28T13:23:12.307000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d4b59a435ebb107136a2","69c7d4d842e59a2a37fd29c8","NC-0000000049","Session","2026-03-28T13:17:11.689Z","session_opened","1","69c7d4d805d7cf77af9680f2","2026-03-28T13:17:12.356000","2026-03-28T13:17:12.356000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d40397c99229b5c73b3b","69c7d41e5605970477567014","NC-0000000050","Session","2026-03-28T13:14:05.956Z","session_opened","1","69c7d41fe07e6925265700db","2026-03-28T13:14:07","2026-03-28T13:14:07","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d355e3531775420b8457","69c7d38aad23c66d8680a471","NC-0000000095","Session","2026-03-28T13:11:53.026Z","session_confirmed","1","69c7d399e2fecb7a1faa48ac","2026-03-28T13:11:53.522000","2026-03-28T13:11:53.522000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69c7d355e3531775420b8457","69c7d38aad23c66d8680a471","NC-0000000095","Session","2026-03-28T13:11:38.386Z","session_opened","1","69c7d38bae84b022ea0cc6fd","2026-03-28T13:11:39.068000","2026-03-28T13:11:39.068000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T17:46:26.404Z","checkin","2","69c41f73b82147096c42a727","2026-03-25T17:46:27.221000","2026-03-25T17:46:27.221000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T17:21:26.133Z","checkin","2","69c41996b6d8a9664b3b1d69","2026-03-25T17:21:26.823000","2026-03-25T17:21:26.823000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T16:56:26.174Z","checkin","2","69c413ba6cf9025188a86c1c","2026-03-25T16:56:26.914000","2026-03-25T16:56:26.914000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T16:36:26.246Z","checkin","2","69c40f0a6a407c282667728e","2026-03-25T16:36:26.883000","2026-03-25T16:36:26.883000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T16:21:26.199Z","checkin","2","69c40b8675a2a29613e890fd","2026-03-25T16:21:26.923000","2026-03-25T16:21:26.923000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T16:16:26.199Z","checkin","2","69c40a5a34af23114fe97703","2026-03-25T16:16:26.956000","2026-03-25T16:16:26.956000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000067","69c3d59ebb8337dfb9f612bd","NC-0000000067","CheckpointLiveStats","2026-03-25T15:41:26.197Z","session_opened","1","69c4022720301033fb178779","2026-03-25T15:41:27.191000","2026-03-25T15:41:27.191000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T15:41:26.197Z","checkin","1","69c40226ed67cfc2ff7c0657","2026-03-25T15:41:26.841000","2026-03-25T15:41:26.841000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000165","69c3c536ec15c2bb41e6ad11","NC-0000000165","CheckpointLiveStats","2026-03-25T15:36:26.310Z","checkin","1","69c400fb0e4593ae2b77b70f","2026-03-25T15:36:27.140000","2026-03-25T15:36:27.140000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T14:31:26.258Z","session_confirmed","1","69c3f1bf6e97787e3c320c51","2026-03-25T14:31:27.003000","2026-03-25T14:31:27.003000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T14:26:26.201Z","session_confirmed","1","69c3f092c5d4895cb7b61e47","2026-03-25T14:26:26.930000","2026-03-25T14:26:26.930000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T13:46:26.204Z","session_confirmed","1","69c3e732958448bfec9c29e3","2026-03-25T13:46:26.871000","2026-03-25T13:46:26.871000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000029","69c3e02a182f4f856f421f01","NC-0000000029","CheckpointLiveStats","2026-03-25T13:31:26.342Z","session_opened","1","69c3e3afa373c72dccaaee23","2026-03-25T13:31:27.085000","2026-03-25T13:31:27.085000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000029","69c3e02a182f4f856f421f01","NC-0000000029","CheckpointLiveStats","2026-03-25T13:26:26.230Z","session_opened","1","69c3e282cc0eedffc54b0797","2026-03-25T13:26:26.997000","2026-03-25T13:26:26.997000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T13:16:26.378Z","session_confirmed","1","69c3e02b3bde9012f8085d2f","2026-03-25T13:16:27.478000","2026-03-25T13:16:27.478000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000029","69c3e02a182f4f856f421f01","NC-0000000029","CheckpointLiveStats","2026-03-25T13:16:26.378Z","session_opened","1","69c3e02b1c6b17e1c26d058a","2026-03-25T13:16:27.039000","2026-03-25T13:16:27.039000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T12:51:26.197Z","session_confirmed","1","69c3da4fd9dcdf6d02465996","2026-03-25T12:51:27.267000","2026-03-25T12:51:27.267000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000019","69c3d9225070d7be1d4e25bd","NC-0000000019","CheckpointLiveStats","2026-03-25T12:51:26.197Z","session_opened","1","69c3da4e4c4fb4296b19989b","2026-03-25T12:51:26.830000","2026-03-25T12:51:26.830000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000019","69c3d9225070d7be1d4e25bd","NC-0000000019","CheckpointLiveStats","2026-03-25T12:46:26.235Z","session_opened","1","69c3d9224177af403d086010","2026-03-25T12:46:26.868000","2026-03-25T12:46:26.868000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000067","69c3d59ebb8337dfb9f612bd","NC-0000000067","CheckpointLiveStats","2026-03-25T12:31:26.184Z","session_opened","1","69c3d59f0c1b4e401223cd2b","2026-03-25T12:31:27.023000","2026-03-25T12:31:27.023000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000095","69c3c78e50080e62375b54c4","NC-0000000095","CheckpointLiveStats","2026-03-25T12:31:26.184Z","session_confirmed","1","69c3d59e5702f8f26239cccd","2026-03-25T12:31:26.743000","2026-03-25T12:31:26.743000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000106","69c3d21a09d08f53fab7bcb4","NC-0000000106","CheckpointLiveStats","2026-03-25T12:21:26.301Z","session_opened","1","69c3d3465eedeeaddab5c742","2026-03-25T12:21:26.960000","2026-03-25T12:21:26.960000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000106","69c3d21a09d08f53fab7bcb4","NC-0000000106","CheckpointLiveStats","2026-03-25T12:16:26.139Z","session_opened","1","69c3d21a8c3c587992b63a5e","2026-03-25T12:16:26.716000","2026-03-25T12:16:26.716000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
