vibe,coverImageUrl,timezone,arrondissement,geoLat,domainDominantKey,iconKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,parentCheckpointId,pays,id,created_date,updated_date,created_by_id,is_sample
"","","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.49870141352649","","👩‍💻","Coworking","-73.64859298148366","[]","QC","0","","0","","NC-0000000172","false","","0","[]","0.1","Swivl","4845 rue Jean-Talon O","","CA","69ce5852314e03da4ab94605","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Ville-Marie","45.499529137788294","","📺","Radio et télévision","-73.56499879080583","[]","QC","0","","0","","NC-0000000212","false","","0","[]","0.1","CKBE-FM","800 rue De La Gauchetière O","","CA","69ce5852314e03da4ab94608","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.46872498973058","","🍻","Bar","-73.6188688875932","[]","QC","0","","0","","NC-0000000032","false","","0","[]","0.1","HONEY MARTIN KAVANAGH","5916 rue Sherbrooke O","","CA","69ce5852314e03da4ab945e6","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Le Sud-Ouest","45.49207226636339","music","👩‍💻","Coworking","-73.5619570340454","[{""weight"":1,""key"":""music""}]","QC","0","1","0","","NC-0000000196","false","","0","[]","0.1","Amulette","290 rue de la Montagne","","CA","69ce5852314e03da4ab945f1","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/102526258_287722612409505_6153291039133452112_n_ryqs6a.jpg","America/Toronto","Ville-Marie","45.497395730104486","","📺","Radio et télévision","-73.5617386402906","[]","QC","0","","0","","NC-0000000208","true","","0","[]","0.1","URBANIA","914 rue Notre-Dame O","","CA","69ce5852314e03da4ab945fb","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/435330993_333740595949437_1594163702428009006_n_cafcam.jpg","America/Toronto","Ville-Marie","45.49758023602257","","🍻","Bar","-73.57682818339909","[]","QC","0","1","0","","NC-0000000084","true","","0","[]","0.1","Crescent Warehouse","1446 rue Crescent","","CA","69ce5852314e03da4ab945fd","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/319701200_139425285318979_8494173660247889845_n_ymx1wu.jpg","America/Toronto","Le Plateau-Mont-Royal","45.5219592392629","music","🍻","Bar","-73.59357049248479","[{""weight"":1,""key"":""music""}]","QC","0","","0","","NC-0000000135","true","","0","[]","0.1","Bar kabinet","98 avenue Laurier O","","CA","69ce5852314e03da4ab945b6","2026-04-02T11:51:46.973000","2026-04-20T14:46:08.872000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774917442/microrave/avatars/jdtycelllwhljsnf5nup.jpg","America/Toronto","Le Plateau-Mont-Royal","45.523907314808525","","🎪","Salle de spectacle","-73.58248046252557","[]","QC","0","1","0","","NC-0000000085","true","","0","[]","0.1","LE QUAI DES BRUMES","4481 rue Saint-Denis","","CA","69ce5852314e03da4ab945c2","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/10808642_336696393186747_170602572_a_jxlwy6.jpg","America/Toronto","Ville-Marie","45.502872752933584","music","🍻","Bar","-73.56993338259346","[]","QC","0","","0","","NC-0000000129","true","","0","[]","0.1","PIRANHA BAR","680 rue Sainte-Catherine O","","CA","69ce5852314e03da4ab945cd","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1775059400/279965941_1319539871886951_4064350656005826682_n_jj2yoh.jpg","America/Toronto","Le Plateau-Mont-Royal","45.52387032300939","","🍻","Bar","-73.58230645463159","[]","QC","0","1","0","","NC-0000000115","true","","0","[]","0.1","L'ESCO BAR SPECTACLE","4461 rue Saint-Denis","","CA","69ce5852314e03da4ab945c0","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774916909/361269799_996643184820137_7562496551272444716_n_t4z9dx.jpg","America/Toronto","Ville-Marie","45.50049061509817","","🍻","Bar","-73.57149874250504","[]","QC","0","","0","","NC-0000000131","true","","0","[]","0.1","Bar dominion","1245 rue Metcalfe","","CA","69ce5852314e03da4ab945c6","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/459643198_426436986650678_1454811690224212159_n_uqpvnb.jpg","America/Toronto","Beaconsfield","45.41990105838818","","🍺","Pub","-73.88142955092013","[]","QC","0","1","0","","NC-0000000025","true","","0","[]","0.1","DUKE & DEVINE'S","479 boulevard Beaconsfield","","CA","69ce5852314e03da4ab945da","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/447018926_818983160167553_5239999512395721228_n_tcq9t6.jpg","America/Toronto","Ville-Marie","45.51966380972727","humour","🍻","Bar","-73.56211885744261","[{""weight"":0.5,""key"":""humour""},{""weight"":0.5,""key"":""art""}]","QC","0","1","0","","NC-0000000097","true","","0","[]","0.1","Chez Miller","1840 rue Atateken","","CA","69ce5852314e03da4ab945ae","2026-04-02T11:51:46.973000","2026-04-20T14:45:46.121000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/17663778_1181517961964844_3615028472159666176_a_w0uwxi.jpg","America/Toronto","Le Plateau-Mont-Royal","45.5216247924391","","🍻","Bar","-73.59429698531562","[]","QC","0","1","0","","NC-0000000103","true","","0","[]","0.1","BAR HENRIETTA","115 avenue Laurier O","","CA","69ce5852314e03da4ab945b4","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/26152210_380182455728421_7386347063304257536_n_xi5bow.jpg","America/Toronto","Ville-Marie","45.52345210698988","","🍸","Bistro","-73.58316840790495","[]","QC","0","","0","","NC-0000000141","false","","0","[]","0.1","Bily kun","354 avenue du Mont-Royal E","","CA","69ce5852314e03da4ab945bd","2026-04-02T11:51:46.973000","2026-04-02T11:51:46.973000","698c747aee05acfdd23ea578","false"
